Year,Disaster Type,Decade
1988,Flood,1980
1988,Storm,1980
1988,Flood,1980
1988,Flood,1980
1988,Flood,1980
1988,Extreme temperature,1980
1988,Flood,1980
1988,Epidemic,1980
1988,Volcanic activity,1980
1988,Earthquake,1980
1988,Earthquake,1980
1988,Flood,1980
1988,Flood,1980
1988,Flood,1980
1988,Flood,1980
1988,Flood,1980
1988,Flood,1980
1988,Landslide,1980
1988,Landslide,1980
1988,Storm,1980
1988,Storm,1980
1988,Epidemic,1980
1988,Flood,1980
1988,Storm,1980
1988,Storm,1980
1988,Flood,1980
1988,Flood,1980
1988,Epidemic,1980
1988,Volcanic activity,1980
1988,Flood,1980
1988,Storm,1980
1988,Insect infestation,1980
1988,Flood,1980
1988,Storm,1980
1988,Flood,1980
1988,Storm,1980
1988,Flood,1980
1988,Flood,1980
1988,Earthquake,1980
1988,Insect infestation,1980
1988,Storm,1980
1988,Flood,1980
1988,Epidemic,1980
1988,Insect infestation,1980
1988,Flood,1980
1988,Flood,1980
1988,Epidemic,1980
1988,Epidemic,1980
1988,Insect infestation,1980
1988,Extreme temperature,1980
1988,Earthquake,1980
1988,Flood,1980
1988,Flood,1980
1988,Flood,1980
1988,Storm,1980
1988,Storm,1980
1978,Drought,1970
1978,Flood,1970
1978,Flood,1970
1978,Landslide,1970
1978,Storm,1970
1978,Epidemic,1970
1978,Epidemic,1970
1978,Flood,1970
1978,Storm,1970
1978,Earthquake,1970
1978,Earthquake,1970
1978,Epidemic,1970
1978,Epidemic,1970
1978,Storm,1970
1978,Storm,1970
1978,Flood,1970
1978,Storm,1970
1978,Earthquake,1970
1978,Drought,1970
1978,Storm,1970
1978,Drought,1970
1978,Flood,1970
1978,Flood,1970
1978,Flood,1970
1978,Flood,1970
1978,Flood,1970
1978,Landslide,1970
1978,Storm,1970
1978,Storm,1970
1978,Storm,1970
1978,Storm,1970
1978,Storm,1970
1978,Storm,1970
1978,Storm,1970
1978,Storm,1970
1978,Drought,1970
1978,Flood,1970
1978,Epidemic,1970
1978,Epidemic,1970
1978,Flood,1970
1979,Earthquake,1970
1979,Earthquake,1970
1979,Drought,1970
1979,Earthquake,1970
1979,Earthquake,1970
1979,Earthquake,1970
1979,Earthquake,1970
1979,Volcanic activity,1970
1979,Volcanic activity,1970
1979,Landslide,1970
1979,Flood,1970
1979,Flood,1970
1979,Flood,1970
1979,Landslide,1970
1979,Landslide,1970
1979,Storm,1970
1979,Extreme temperature,1970
1979,Extreme temperature,1970
1979,Epidemic,1970
1979,Drought,1970
1979,Flood,1970
1979,Flood,1970
1979,Flood,1970
1979,Flood,1970
1979,Earthquake,1970
1979,Earthquake,1970
1979,Earthquake,1970
1979,Earthquake,1970
1979,Volcanic activity,1970
1979,Flood,1970
1979,Flood,1970
1979,Storm,1970
1979,Flood,1970
1979,Storm,1970
1979,Drought,1970
1979,Flood,1970
1979,Earthquake,1970
1979,Flood,1970
1979,Epidemic,1970
1979,Wildfire,1970
1979,Flood,1970
1979,Drought,1970
1979,Storm,1970
1979,Storm,1970
1979,Storm,1970
1979,Flood,1970
1979,Flood,1970
1979,Drought,1970
1979,Landslide,1970
1979,Extreme temperature,1970
1979,Flood,1970
1979,Earthquake,1970
1979,Flood,1970
1979,Storm,1970
1979,Storm,1970
1979,Storm,1970
1979,Storm,1970
1979,Storm,1970
1979,Landslide,1970
1979,Storm,1970
1979,Flood,1970
1979,Flood,1970
1979,Flood,1970
1979,Drought,1970
1979,Storm,1970
1980,Drought,1980
1980,Drought,1980
1980,Drought,1980
1980,Drought,1980
1980,Earthquake,1980
1980,Volcanic activity,1980
1980,Landslide,1980
1980,Storm,1980
1980,Flood,1980
1980,Storm,1980
1980,Earthquake,1980
1980,Landslide,1980
1980,Storm,1980
1980,Storm,1980
1980,Extreme temperature,1980
1980,Extreme temperature,1980
1980,Epidemic,1980
1980,Epidemic,1980
1980,Epidemic,1980
1980,Flood,1980
1980,Flood,1980
1980,Flood,1980
1980,Flood,1980
1980,Flood,1980
1980,Earthquake,1980
1980,Earthquake,1980
1980,Earthquake,1980
1980,Flood,1980
1980,Flood,1980
1980,Earthquake,1980
1980,Storm,1980
1980,Earthquake,1980
1980,Storm,1980
1980,Flood,1980
1980,Storm,1980
1980,Storm,1980
1980,Epidemic,1980
1980,Storm,1980
1980,Drought,1980
1980,Earthquake,1980
1980,Earthquake,1980
1980,Flood,1980
1980,Flood,1980
1980,Drought,1980
1980,Epidemic,1980
1980,Drought,1980
1980,Storm,1980
1980,Epidemic,1980
1980,Drought,1980
1980,Flood,1980
1980,Earthquake,1980
1980,Flood,1980
1980,Flood,1980
1980,Storm,1980
1980,Flood,1980
1980,Earthquake,1980
1980,Flood,1980
1980,Flood,1980
1980,Storm,1980
1980,Storm,1980
1980,Storm,1980
1980,Storm,1980
1980,Storm,1980
1980,Storm,1980
1980,Drought,1980
1980,Flood,1980
1980,Storm,1980
1980,Drought,1980
1981,Earthquake,1980
1981,Earthquake,1980
1981,Drought,1980
1981,Drought,1980
1981,Volcanic activity,1980
1981,Flood,1980
1981,Landslide,1980
1981,Flood,1980
1981,Flood,1980
1981,Storm,1980
1981,Storm,1980
1981,Storm,1980
1981,Storm,1980
1981,Extreme temperature,1980
1981,Flood,1980
1981,Storm,1980
1981,Earthquake,1980
1981,Earthquake,1980
1981,Flood,1980
1981,Storm,1980
1981,Earthquake,1980
1981,Earthquake,1980
1981,Epidemic,1980
1981,Landslide,1980
1981,Storm,1980
1981,Storm,1980
1981,Storm,1980
1981,Storm,1980
1981,Landslide,1980
1981,Storm,1980
1981,Flood,1980
1981,Drought,1980
1981,Flood,1980
1981,Storm,1980
1981,Earthquake,1980
1981,Storm,1980
1981,Epidemic,1980
1981,Wildfire,1980
1981,Drought,1980
1981,Flood,1980
1981,Drought,1980
1981,Storm,1980
1981,Storm,1980
1981,Storm,1980
1981,Drought,1980
1981,Flood,1980
1981,Flood,1980
1981,Flood,1980
1981,Storm,1980
1981,Storm,1980
1981,Earthquake,1980
1981,Flood,1980
1981,Earthquake,1980
1981,Earthquake,1980
1981,Landslide,1980
1981,Flood,1980
1981,Flood,1980
1981,Landslide,1980
1981,Storm,1980
1981,Storm,1980
1981,Storm,1980
1981,Storm,1980
1981,Storm,1980
1981,Storm,1980
1981,Storm,1980
1981,Flood,1980
1981,Storm,1980
1981,Flood,1980
1981,Landslide,1980
1981,Flood,1980
1981,Flood,1980
1982,Earthquake,1980
1982,Earthquake,1980
1982,Earthquake,1980
1982,Earthquake,1980
1982,Drought,1980
1982,Drought,1980
1982,Volcanic activity,1980
1982,Volcanic activity,1980
1982,Landslide,1980
1982,Landslide,1980
1982,Storm,1980
1982,Epidemic,1980
1982,Flood,1980
1982,Flood,1980
1982,Flood,1980
1982,Storm,1980
1982,Storm,1980
1982,Extreme temperature,1980
1982,Epidemic,1980
1982,Drought,1980
1982,Flood,1980
1982,Flood,1980
1982,Earthquake,1980
1982,Earthquake,1980
1982,Landslide,1980
1982,Storm,1980
1982,Storm,1980
1982,Storm,1980
1982,Flood,1980
1982,Storm,1980
1982,Flood,1980
1982,Storm,1980
1982,Storm,1980
1982,Flood,1980
1982,Flood,1980
1982,Landslide,1980
1982,Storm,1980
1982,Earthquake,1980
1982,Volcanic activity,1980
1982,Flood,1980
1982,Storm,1980
1982,Flood,1980
1982,Storm,1980
1982,Flood,1980
1982,Epidemic,1980
1982,Storm,1980
1982,Storm,1980
1982,Flood,1980
1982,Storm,1980
1982,Epidemic,1980
1982,Flood,1980
1982,Flood,1980
1982,Earthquake,1980
1982,Flood,1980
1982,Landslide,1980
1982,Flood,1980
1982,Flood,1980
1982,Flood,1980
1982,Storm,1980
1982,Storm,1980
1982,Storm,1980
1982,Storm,1980
1982,Storm,1980
1982,Storm,1980
1982,Storm,1980
1982,Storm,1980
1982,Storm,1980
1982,Flood,1980
1982,Flood,1980
1982,Earthquake,1980
1982,Flood,1980
1982,Flood,1980
1982,Storm,1980
1982,Storm,1980
1982,Drought,1980
1982,Flood,1980
1983,Earthquake,1980
1983,Earthquake,1980
1983,Earthquake,1980
1983,Earthquake,1980
1983,Storm,1980
1983,Drought,1980
1983,Drought,1980
1983,Drought,1980
1983,Earthquake,1980
1983,Volcanic activity,1980
1983,Volcanic activity,1980
1983,Volcanic activity,1980
1983,Landslide,1980
1983,Epidemic,1980
1983,Flood,1980
1983,Flood,1980
1983,Flood,1980
1983,Landslide,1980
1983,Storm,1980
1983,Storm,1980
1983,Storm,1980
1983,Storm,1980
1983,Storm,1980
1983,Flood,1980
1983,Flood,1980
1983,Flood,1980
1983,Flood,1980
1983,Storm,1980
1983,Earthquake,1980
1983,Volcanic activity,1980
1983,Landslide,1980
1983,Wildfire,1980
1983,Earthquake,1980
1983,Wildfire,1980
1983,Landslide,1980
1983,Volcanic activity,1980
1983,Landslide,1980
1983,Storm,1980
1983,Landslide,1980
1983,Storm,1980
1983,Flood,1980
1983,Flood,1980
1983,Drought,1980
1983,Storm,1980
1983,Storm,1980
1983,Landslide,1980
1983,Storm,1980
1983,Epidemic,1980
1983,Epidemic,1980
1983,Storm,1980
1983,Flood,1980
1983,Landslide,1980
1983,Flood,1980
1983,Flood,1980
1983,Earthquake,1980
1983,Landslide,1980
1983,Landslide,1980
1983,Flood,1980
1983,Earthquake,1980
1983,Landslide,1980
1983,Landslide,1980
1983,Extreme temperature,1980
1983,Drought,1980
1983,Storm,1980
1983,Storm,1980
1983,Storm,1980
1983,Storm,1980
1983,Drought,1980
1983,Flood,1980
1983,Earthquake,1980
1983,Volcanic activity,1980
1983,Flood,1980
1983,Flood,1980
1983,Storm,1980
1983,Wildfire,1980
1983,Wildfire,1980
1983,Drought,1980
1983,Flood,1980
1983,Drought,1980
1983,Flood,1980
1983,Epidemic,1980
1983,Storm,1980
1983,Storm,1980
1983,Drought,1980
1983,Flood,1980
1983,Drought,1980
1983,Flood,1980
1983,Flood,1980
1984,Earthquake,1980
1984,Earthquake,1980
1984,Drought,1980
1984,Storm,1980
1984,Earthquake,1980
1984,Earthquake,1980
1984,Volcanic activity,1980
1984,Volcanic activity,1980
1984,Volcanic activity,1980
1984,Epidemic,1980
1984,Drought,1980
1984,Flood,1980
1984,Flood,1980
1984,Flood,1980
1984,Earthquake,1980
1984,Flood,1980
1984,Storm,1980
1984,Storm,1980
1984,Storm,1980
1984,Extreme temperature,1980
1984,Wildfire,1980
1984,Epidemic,1980
1984,Epidemic,1980
1984,Epidemic,1980
1984,Flood,1980
1984,Flood,1980
1984,Flood,1980
1984,Flood,1980
1984,Volcanic activity,1980
1984,Earthquake,1980
1984,Earthquake,1980
1984,Earthquake,1980
1984,Landslide,1980
1984,Storm,1980
1984,Landslide,1980
1984,Flood,1980
1984,Flood,1980
1984,Flood,1980
1984,Flood,1980
1984,Flood,1980
1984,Flood,1980
1984,Drought,1980
1984,Storm,1980
1984,Flood,1980
1984,Storm,1980
1984,Epidemic,1980
1984,Storm,1980
1984,Flood,1980
1984,Storm,1980
1984,Epidemic,1980
1984,Storm,1980
1984,Flood,1980
1984,Flood,1980
1984,Earthquake,1980
1984,Flood,1980
1984,Flood,1980
1984,Landslide,1980
1984,Volcanic activity,1980
1984,Storm,1980
1984,Storm,1980
1984,Storm,1980
1984,Storm,1980
1984,Storm,1980
1984,Flood,1980
1984,Epidemic,1980
1984,Storm,1980
1985,Flood,1980
1985,Earthquake,1980
1985,Volcanic activity,1980
1985,Flood,1980
1985,Flood,1980
1985,Flood,1980
1985,Storm,1980
1985,Flood,1980
1985,Flood,1980
1985,Storm,1980
1985,Extreme temperature,1980
1985,Extreme temperature,1980
1985,Epidemic,1980
1985,Epidemic,1980
1985,Epidemic,1980
1985,Flood,1980
1985,Flood,1980
1985,Flood,1980
1985,Storm,1980
1985,Earthquake,1980
1985,Storm,1980
1985,Storm,1980
1985,Storm,1980
1985,Storm,1980
1985,Epidemic,1980
1985,Storm,1980
1985,Flood,1980
1985,Earthquake,1980
1985,Insect infestation,1980
1985,Flood,1980
1985,Storm,1980
1985,Insect infestation,1980
1985,Flood,1980
1985,Storm,1980
1985,Flood,1980
1985,Storm,1980
1985,Flood,1980
1985,Flood,1980
1985,Flood,1980
1985,Earthquake,1980
1985,Earthquake,1980
1985,Landslide,1980
1985,Landslide,1980
1985,Earthquake,1980
1985,Flood,1980
1985,Storm,1980
1985,Storm,1980
1985,Storm,1980
1985,Flood,1980
1985,Earthquake,1980
1985,Landslide,1980
1985,Flood,1980
1985,Wildfire,1980
1985,Flood,1980
1985,Epidemic,1980
1985,Flood,1980
1985,Storm,1980
1985,Epidemic,1980
1985,Epidemic,1980
1986,Earthquake,1980
1986,Flood,1980
1986,Drought,1980
1986,Flood,1980
1986,Epidemic,1980
1986,Epidemic,1980
1986,Drought,1980
1986,Flood,1980
1986,Flood,1980
1986,Flood,1980
1986,Storm,1980
1986,Earthquake,1980
1986,Flood,1980
1986,Landslide,1980
1986,Landslide,1980
1986,Storm,1980
1986,Storm,1980
1986,Epidemic,1980
1986,Epidemic,1980
1986,Storm,1980
1986,Flood,1980
1986,Flood,1980
1986,Storm,1980
1986,Storm,1980
1986,Earthquake,1980
1986,Earthquake,1980
1986,Flood,1980
1986,Flood,1980
1986,Flood,1980
1986,Flood,1980
1986,Storm,1980
1986,Volcanic activity,1980
1986,Landslide,1980
1986,Landslide,1980
1986,Storm,1980
1986,Flood,1980
1986,Storm,1980
1986,Storm,1980
1986,Flood,1980
1986,Storm,1980
1986,Flood,1980
1986,Flood,1980
1986,Insect infestation,1980
1986,Wildfire,1980
1986,Flood,1980
1986,Insect infestation,1980
1986,Epidemic,1980
1986,Epidemic,1980
1986,Insect infestation,1980
1986,Storm,1980
1986,Storm,1980
1986,Storm,1980
1986,Flood,1980
1986,Flood,1980
1986,Flood,1980
1986,Flood,1980
1986,Flood,1980
1986,Storm,1980
1986,Earthquake,1980
1986,Flood,1980
1986,Earthquake,1980
1986,Earthquake,1980
1986,Flood,1980
1986,Landslide,1980
1986,Storm,1980
1986,Storm,1980
1986,Storm,1980
1986,Storm,1980
1986,Storm,1980
1986,Storm,1980
1986,Flood,1980
1986,Wildfire,1980
1986,Insect infestation,1980
1986,Insect infestation,1980
1986,Storm,1980
1986,Earthquake,1980
1987,Earthquake,1980
1987,Drought,1980
1987,Flood,1980
1987,Earthquake,1980
1987,Drought,1980
1987,Flood,1980
1987,Flood,1980
1987,Flood,1980
1987,Flood,1980
1987,Earthquake,1980
1987,Volcanic activity,1980
1987,Flood,1980
1987,Flood,1980
1987,Flood,1980
1987,Flood,1980
1987,Flood,1980
1987,Flood,1980
1987,Storm,1980
1987,Storm,1980
1987,Extreme temperature,1980
1987,Epidemic,1980
1987,Drought,1980
1987,Storm,1980
1987,Storm,1980
1987,Flood,1980
1987,Flood,1980
1987,Flood,1980
1987,Flood,1980
1987,Earthquake,1980
1987,Flood,1980
1987,Flood,1980
1987,Flood,1980
1987,Flood,1980
1987,Flood,1980
1987,Flood,1980
1987,Landslide,1980
1987,Flood,1980
1987,Storm,1980
1987,Storm,1980
1987,Storm,1980
1987,Landslide,1980
1987,Flood,1980
1987,Flood,1980
1987,Earthquake,1980
1987,Storm,1980
1987,Drought,1980
1987,Flood,1980
1987,Flood,1980
1987,Storm,1980
1987,Storm,1980
1987,Epidemic,1980
1987,Drought,1980
1987,Flood,1980
1987,Storm,1980
1987,Epidemic,1980
1987,Drought,1980
1987,Flood,1980
1987,Insect infestation,1980
1987,Flood,1980
1987,Earthquake,1980
1987,Flood,1980
1987,Flood,1980
1987,Epidemic,1980
1987,Epidemic,1980
1987,Insect infestation,1980
1987,Drought,1980
1987,Epidemic,1980
1987,Insect infestation,1980
1987,Flood,1980
1987,Insect infestation,1980
1987,Epidemic,1980
1987,Epidemic,1980
1987,Epidemic,1980
1987,Epidemic,1980
1987,Epidemic,1980
1987,Storm,1980
1987,Extreme temperature,1980
1987,Earthquake,1980
1987,Wildfire,1980
1987,Flood,1980
1987,Flood,1980
1987,Landslide,1980
1987,Landslide,1980
1987,Flood,1980
1987,Storm,1980
1987,Storm,1980
1987,Storm,1980
1987,Storm,1980
1987,Storm,1980
1987,Drought,1980
1987,Flood,1980
1987,Flood,1980
1987,Flood,1980
1987,Landslide,1980
1987,Storm,1980
1987,Drought,1980
1987,Insect infestation,1980
1987,Epidemic,1980
1987,Insect infestation,1980
1988,Storm,1980
1988,Storm,1980
1988,Flood,1980
1988,Flood,1980
1988,Flood,1980
1988,Flood,1980
1988,Volcanic activity,1980
1988,Volcanic activity,1980
1988,Flood,1980
1988,Flood,1980
1988,Landslide,1980
1988,Earthquake,1980
1988,Flood,1980
1988,Flood,1980
1988,Landslide,1980
1988,Landslide,1980
1988,Storm,1980
1988,Extreme temperature,1980
1988,Extreme temperature,1980
1988,Epidemic,1980
1988,Epidemic,1980
1988,Epidemic,1980
1988,Earthquake,1980
1988,Earthquake,1980
1988,Flood,1980
1988,Storm,1980
1988,Flood,1980
1988,Storm,1980
1988,Landslide,1980
1988,Insect infestation,1980
1988,Extreme temperature,1980
1988,Storm,1980
1988,Epidemic,1980
1988,Insect infestation,1980
1988,Flood,1980
1988,Storm,1980
1988,Insect infestation,1980
1988,Epidemic,1980
1988,Insect infestation,1980
1988,Flood,1980
1988,Epidemic,1980
1988,Flood,1980
1988,Insect infestation,1980
1988,Flood,1980
1988,Landslide,1980
1988,Storm,1980
1988,Earthquake,1980
1988,Flood,1980
1988,Landslide,1980
1988,Storm,1980
1988,Storm,1980
1988,Flood,1980
1988,Storm,1980
1988,Flood,1980
1988,Epidemic,1980
1988,Epidemic,1980
1988,Landslide,1980
1988,Storm,1980
1988,Landslide,1980
1988,Landslide,1980
1988,Storm,1980
1988,Storm,1980
1988,Storm,1980
1988,Storm,1980
1988,Storm,1980
1988,Flood,1980
1988,Flood,1980
1988,Flood,1980
1988,Epidemic,1980
1988,Epidemic,1980
1988,Insect infestation,1980
1988,Insect infestation,1980
1988,Insect infestation,1980
1988,Insect infestation,1980
1988,Flood,1980
1988,Flood,1980
1988,Landslide,1980
1978,Drought,1970
1978,Flood,1970
1978,Storm,1970
1978,Earthquake,1970
1978,Storm,1970
1978,Storm,1970
1978,Storm,1970
1978,Flood,1970
1978,Insect infestation,1970
1979,Earthquake,1970
1979,Flood,1970
1979,Flood,1970
1979,Drought,1970
1979,Storm,1970
1979,Storm,1970
1979,Storm,1970
1979,Storm,1970
1979,Volcanic activity,1970
1979,Storm,1970
1979,Earthquake,1970
1979,Flood,1970
1979,Insect infestation,1970
1980,Drought,1980
1980,Earthquake,1980
1980,Extreme temperature,1980
1980,Drought,1980
1980,Storm,1980
1980,Drought,1980
1980,Flood,1980
1980,Landslide,1980
1980,Flood,1980
1980,Epidemic,1980
1980,Volcanic activity,1980
1980,Storm,1980
1980,Storm,1980
1980,Flood,1980
1980,Flood,1980
1980,Flood,1980
1980,Storm,1980
1980,Earthquake,1980
1980,Storm,1980
1980,Storm,1980
1980,Flood,1980
1980,Drought,1980
1981,Drought,1980
1981,Storm,1980
1981,Flood,1980
1981,Storm,1980
1981,Storm,1980
1981,Flood,1980
1981,Storm,1980
1981,Storm,1980
1981,Storm,1980
1981,Storm,1980
1981,Flood,1980
1981,Landslide,1980
1981,Storm,1980
1981,Storm,1980
1981,Flood,1980
1981,Flood,1980
1981,Earthquake,1980
1981,Flood,1980
1981,Drought,1980
1981,Flood,1980
1981,Drought,1980
1981,Drought,1980
1982,Flood,1980
1982,Flood,1980
1982,Storm,1980
1982,Storm,1980
1982,Flood,1980
1982,Flood,1980
1982,Epidemic,1980
1982,Storm,1980
1982,Storm,1980
1982,Storm,1980
1982,Storm,1980
1982,Storm,1980
1982,Storm,1980
1982,Flood,1980
1982,Flood,1980
1982,Storm,1980
1982,Storm,1980
1982,Storm,1980
1982,Storm,1980
1982,Storm,1980
1982,Storm,1980
1982,Flood,1980
1982,Earthquake,1980
1982,Epidemic,1980
1983,Drought,1980
1983,Earthquake,1980
1983,Drought,1980
1983,Storm,1980
1983,Earthquake,1980
1983,Flood,1980
1983,Flood,1980
1983,Flood,1980
1983,Earthquake,1980
1983,Storm,1980
1983,Epidemic,1980
1983,Earthquake,1980
1983,Earthquake,1980
1983,Storm,1980
1983,Extreme temperature,1980
1983,Storm,1980
1983,Storm,1980
1983,Flood,1980
1983,Flood,1980
1983,Storm,1980
1983,Storm,1980
1983,Storm,1980
1983,Storm,1980
1983,Storm,1980
1983,Storm,1980
1983,Wildfire,1980
1983,Storm,1980
1983,Earthquake,1980
1983,Wildfire,1980
1983,Storm,1980
1983,Drought,1980
1983,Drought,1980
1984,Storm,1980
1984,Earthquake,1980
1984,Flood,1980
1984,Flood,1980
1984,Storm,1980
1984,Drought,1980
1984,Flood,1980
1984,Flood,1980
1984,Earthquake,1980
1984,Earthquake,1980
1984,Flood,1980
1984,Storm,1980
1984,Flood,1980
1984,Drought,1980
1984,Storm,1980
1984,Storm,1980
1984,Flood,1980
1984,Storm,1980
1984,Storm,1980
1984,Storm,1980
1984,Storm,1980
1984,Storm,1980
1984,Storm,1980
1984,Storm,1980
1984,Storm,1980
1984,Storm,1980
1984,Flood,1980
1984,Flood,1980
1984,Storm,1980
1984,Storm,1980
1984,Flood,1980
1984,Storm,1980
1984,Storm,1980
1985,Earthquake,1980
1985,Earthquake,1980
1985,Flood,1980
1985,Flood,1980
1985,Flood,1980
1985,Storm,1980
1985,Flood,1980
1985,Flood,1980
1985,Earthquake,1980
1985,Wildfire,1980
1985,Epidemic,1980
1985,Storm,1980
1985,Flood,1980
1985,Flood,1980
1985,Flood,1980
1985,Flood,1980
1985,Flood,1980
1985,Storm,1980
1985,Storm,1980
1985,Storm,1980
1985,Storm,1980
1985,Storm,1980
1985,Storm,1980
1985,Storm,1980
1985,Storm,1980
1985,Storm,1980
1985,Flood,1980
1985,Flood,1980
1985,Storm,1980
1985,Storm,1980
1985,Earthquake,1980
1985,Wildfire,1980
1986,Extreme temperature,1980
1986,Drought,1980
1986,Epidemic,1980
1986,Epidemic,1980
1986,Earthquake,1980
1986,Earthquake,1980
1986,Insect infestation,1980
1986,Flood,1980
1986,Flood,1980
1986,Earthquake,1980
1986,Earthquake,1980
1986,Earthquake,1980
1986,Landslide,1980
1986,Storm,1980
1986,Storm,1980
1986,Insect infestation,1980
1986,Flood,1980
1986,Epidemic,1980
1986,Flood,1980
1986,Storm,1980
1986,Earthquake,1980
1986,Flood,1980
1986,Flood,1980
1986,Storm,1980
1986,Flood,1980
1986,Flood,1980
1986,Earthquake,1980
1986,Earthquake,1980
1986,Flood,1980
1986,Storm,1980
1986,Storm,1980
1986,Flood,1980
1986,Insect infestation,1980
1987,Drought,1980
1987,Flood,1980
1987,Landslide,1980
1987,Wildfire,1980
